questions,lang,keywords
"
Which telecommunications organizations are located in Belgium?
",en,"
Belgium, telecommunications organization, located
"
"
Which companies work in the aerospace industry as well as on nuclear reactor technology?
",en,"
aerospace industry, nuclear reactor technology, company, work
"
"
Which state of the USA has the highest population density?
",en,"
state, USA, population density, highest
"
"
Is the wife of president Obama called Michelle?
",en,"
Obama, president, wife, called, Michelle
"
"
What is the highest mountain?
",en,"
highest mountain
"
"
Give me all Canadian Grunge record labels.
",en,"
record label, Canadian, Grunge
"
"
What is the currency of the Czech Republic?
",en,"
Czech republic, currency
"
"
Give me all books written by Danielle Steel.
",en,"
Danielle Steel, book, written
"
"
In which films directed by Garry Marshall was Julia Roberts starring?
",en,"
film, directed, Garry Marhsall, starring, Julia Roberts
"
"
Who developed the video game World of Warcraft?
",en,"
video game, World of Warcraft, developed
"
"
Who owns Aldi?
",en,"
own, Aldi
"
"
How many employees does IBM have?
",en,"
IBM, employees
"
"
What is the area code of Berlin?
",en,"
Berlin, area code
"
"
When was the Battle of Gettysburg?
",en,"
Battle of Gettysburg
"
"
What are the official languages of the Philippines?
",en,"
Philippines, official language
"
"
Is Frank Herbert still alive?
",en,"
Frank Herbert, alive
"
"
How many big fires struck Paris during the Middle Ages?
",en,"
Paris, middle ages, fire, big, struck
"
"
Give me the homepage of Forbes.
",en,"
Forbes, homepage
"
"
Is proinsulin a protein?
",en,"
protein, proinsulin
"
"
Which awards did WikiLeaks win?
",en,"
award, WikiLeaks, win
"
"
List all episodes of the first season of the HBO television series The Sopranos!
",en,"
HBO, television series, Sopranos, first season, list, episode
"
"
Which country has the most official languages?
",en,"
country, official language, most
"
"
Which U.S. states possess gold minerals?
",en,"
U.S., state, mineral, possess, gold
"
"
What is the most beautiful painting?
",en,"
painting, most, beautiful
"
"
Is Egypts largest city also its capital?
",en,"
largest city, Egypt, capital
"
"
Which caves have more than 3 entrances?
",en,"
cave, more than 3, entrance
"
"
Give me all films produced by Hal Roach.
",en,"
Hal Roach, film, produce
"
"
Which bridges are of the same type as the Manhattan Bridge?
",en,"
Manhattan Bridge, same type
"
"
Was U.S. president Jackson involved in a war?
",en,"
U.S., president, Jackson, involved, war
"
"
Which software has been developed by organizations founded in California?
",en,"
software, developed, organization, founded, California
"
"
Who has been the 5th president of the United States of America?
",en,"
5th, president, United States of America
"
"
Which music albums contain the song Last Christmas?
",en,"
Last Christmas, music album, contain, song
"
"
Give me all female Russian astronauts.
",en,"
astronaut, female, Russian
"
"
Give me all companies in the advertising industry.
",en,"
advertising industry, company
"
"
Give me all animal species that live in the Teutoburg Forest.
",en,"
Teutoburg Forest, animal species, live
"
"
Which countries in the European Union adopted the Euro?
",en,"
European Union, country, adopted, Euro
"
"
When was Capcom founded?
",en,"
Capcom, founded
"
"
Give me all soccer clubs in the Premier League.
",en,"
Premier League, soccer club
"
"
Who is the owner of Universal Studios?
",en,"
Universal Studios, owner
"
"
What did Bruce Carver die from?
",en,"
Bruce Carver, die
"
