questions,keywords,lang
विलियम शेटनर द्वारा निर्देशित और अभिनीत फिल्मों में अभिनय करने वाले सभी कलाकारों की सूची दें।,"अभिनेता ,  अभिनीत ,  चलचित्र ,  प्रत्यक्ष ,  अभिनीत ,  विलियम शैटनर ",hi_IN
 همه بازیگرانی که در فیلم هایی که ویلیام شاتنر در آن بازی و کارگردانی کرده بازی کرده اند را لیست کن  .,"  بازیگر,    بازیگران,    فیلم سینما,    کارگردان,    بازیگران,    شاتنر  ویلیام",fa
Dammi tutti gli attori che recitano in film diretti e recitati da William Shatner.,"attore, recitare, film, diretto, recitato, William Shatner",it
Donnes-moi tous les acteurs qui ont joué dans des films réalisés par Williams Shatner et dans lesquels il aussi joué.,"acteurs, films, réalisés, William Shatner",fr
Da pe mine toate actori încearcă în filme dirijat de și încearcă William Shatner. ,"actor ,  încearcă ,  film ,  direct ,  încearcă ,  William Shatner ",ro
Dame todos los actores de películas dirigidas por William Shatner en las qué también haya actúado el mismo.,"película, actor, director, William Shatner",es
Geef alle acteurs van films waar William Shatner de regie van voerde en in meespeelde.,"acteur, film, regisseur, meespelen, William Shatner",nl
Was sind die Amtssprachen der Philippinen?,"Philippinen, Amtssprache",de
Какие находятся  официальный языки из  Филиппины? ,"Филиппины ,  официальный язык ",ru
Quais são as línguas oficiais das Filipinas? ,"Filipinas ,  oficial língua ",pt
What are the official languages of the Philippines?,"Philippines, official language",en
फिलीपींस की आधिकारिक भाषाएं क्या हैं?,"फिलीपींस ,  आधिकारिक भाषा ",hi_IN
زبان های رسمی فیلیپین کدام هستند؟,"  فیلیپین,    زبان  رسمی",fa
Quali sono le lingue ufficiali delle Filippine?,"Filippine, lingua ufficiale",it
Quels sont les langues officielles des Philippines?,"langues officielles, Philippines",fr
Ce sunt  oficial limbi de  Filipine? ,"Filipine ,  oficial limba ",ro
¿Cuáles son los idiomas oficiales de Las Philipinas?,"Philipinas, idiomas oficiales",es
Wat zijn de  officiële talen van de Filippijnen?,"officiële talen, Filippijnen",nl
Gib mir alle dänischen Filme.,"Film, Dänemark",de
Дайте меня все датский фильмы. ,"фильм ,  Дания ",ru
Me dê todos os filmes dinamarquês. ,"filme ,  Dinamarca ",pt
Give me all Danish films.,"film, Denmark",en
मुझे सभी डेनिश फिल्में दें।,"फ़िल्म ,  डेनमार्क ",hi_IN
همه فیلم های دانمارکی را لیست کن.,"  فیلم,    دانمارک",fa
Dammi tutti i film danesi.,"film, Danimarca",it
Donnes-moi tous les films danois.,"films, Danemark",fr
Dă-mi toate filmele daneze.,"film, Danemarca",ro
Dame todas las películas danesas.,"película, Dinamarca",es
Noem alle Deense films.,"film, Denemarken",nl
"Bei welchen Filmen, in denen Brad Pitt mitspielt, hat Guy Ritchie Regie geführt?","Filme, mitspielen, Brad Pitt, Regie führen, Guy Ritchie",de
Который кино в главной роли штифтик Питт мы направленный от парень Ritchie? ,"кино ,  в главной роли ,  штифтик Питт ,  направленный ,  парень Ritchie ",ru
Quais filmes estrelando Brad Pitt foram dirigidos por Cara Ritchie? ,"filmes ,  estrelando ,  Brad Pitt ,  dirigido ,  Cara Ritchie ",pt
Which movies starring Brad Pitt were directed by Guy Ritchie?,"movies, starring, Brad Pitt, directed, Guy Ritchie",en
 ब्रैड पिट अभिनीत कौन सी फिल्में गाय रिची द्वारा निर्देशित की गई थीं?,"फिल्में, अभिनीत, ब्रैड पिट, निर्देशित, गाय रिची",hi_IN
چه فیلم هایی که بردپیت بازی کرده توسط گای ریچی کارگردانی شده اند؟,"  فیلم ها,    بازیگران,    برد پیت,    کارگردانی شده,    گای ریچی",fa
Quali film in cui recita Brad Pitt sono stati diretti da Guy Ritchie?,"film, attore, Brad Pitt, diretti, Guy Ritchie",it
Quels films avec Brad Pitt furent dirigés par Guy Richtie?,"films, acteur, Brad Pitt, directeur, Guy Richtie?",fr
Ce filme cu Brad Pitt ca protagonist au fost regizate de Guy Ritchie?,"filme, Brad Pitt, protagonist, regizate, Guy Ritchie",ro
¿Que peliculas protagonizadas por Brad Pitt han sido dirigidas por Guy Ritchie?,"peliculas, protagonizadas, Brad Pitt, dirigidas, Guy Ritchie",es
Welke films met Brad Pitt werden geregisseerd door Guy Ritchie?,"films, acteur, Brad Pitt, geregisseerd, Guy Ritchie",nl
Gib mir die Enkel von Bruce Lee.,"Bruce Lee, Enkel",de
Дайте меня  внучата из Брюс Lee. ,"Брюс подветренный ,  внучата ",ru
Me dê os netos de Bruce Lee. ,"Bruce Lee ,  netos ",pt
Give me the grandchildren of Bruce Lee.,"Bruce Lee, grandchildren",en
मुझे ब्रूस ली के पोते के नाम दो।,"ब्रूस ली ,  पोते ",hi_IN
نوه های بروس لی را لیست کن.,"  بروس لی,    نوه ها",fa
Dammi i nipoti di Bruce Lee.,"Bruce Lee, nipoti",it
Donne-moi tous les petit-enfants de Bruce Lee.,"petit-enfants, Bruce Lee",fr
Dă-mi nepoții lui Bruce Lee.,"Bruce Lee, nepoți",ro
Dame todos los nietos de Bruce Lee.,"Bruce Lee, nietos",es
Toon alle kleinkinderen van Bruce Lee.,"Bruce Lee, kleinkinderen",nl
Welche anderen Waffen hat der Erfinder der Uzi entwickelt?,"Uzi, Erfinder, Waffe",de
Который Другие оружие сделал  дизайнер из  Узи развиваться? ,"Узи ,  дизайнер ,  развивать ,  оружие ",ru
Quais outras armas o desenhista da Uzi desenvolveu? ,"Uzi ,  desenhista ,  desenvolve ,  arma ",pt
Which other weapons did the designer of the Uzi develop?,"Uzi, designer, develop, weapon",en
 उजी के डिजाइनर ने कौन से अन्य हथियार विकसित किए?,"उजी ,  डिजाइनर ,  विकसित करना ,  हथियार ",hi_IN
طراحان یوزی چه اسلحه های دیگری را توسعه داده اند؟,"  یوزی,    طراح,    توسعه,    سلاح",fa
Quali altre armi sono state progettate dall'inventore dell'Uzi?,"Uzi, inventore, progettare, arma",it
Quels autres armes ont été developées par l'inventeur de l'Uzi?,"armes, developées, inventeur de l'Uzi",fr
Ce alte arme a realizat proiectantul Uzi?,"Uzi, proiectant, realiza, armă",ro
¿Qué otras armas desarrolló el inventor del Uzi?,"Uzi, inventor, otras armas",es
Welke andere wapens heeft de uitvinder van de Uzi ontwikkeld?,"Uzi, uitvinder, wapens",nl
Wem gehören die Universal Studios?,"Universal Studios, gehören",de
Кто является  владелец из универсальный Studios? ,"универсальный Студии ,  владелец ",ru
Quem é o proprietário da Universal Studios? ,"Universal Estúdios ,  proprietário ",pt
Who is the owner of Universal Studios?,"Universal Studios, owner",en
यूनिवर्सल स्टूडियो का मालिक कौन है?,"यूनिवर्सल स्टूडियो ,  मालिक ",hi_IN
صاحب یونیورسال استودیوز کیست؟,"  یونیورسال استودیوز,    صاحب",fa
Chi è il proprietario degli Universal Studios?,"Universal Studios, proprietario",it
A qui appartient Universal Studios?,"appartient, Universal Studios",fr
Cine este proprietarul Universal Studios?,"Universal Studios, proprietar",ro
¿A quién le pertenecen los Universal Studios?,"Universal Studios, dueño",es
Wie is de eigenaar van Universal Studios?,"eigenaar, Universal Studios",nl
Welcher Staat in den USA hat die höchste Bevölkerungsdichte?,"Staat, USA, Bevölkerungsdichte, höchste",de
Который государство из  США имеет  наибольший Население плотность? ,"государство ,  США ,  Население плотность ,  наибольший ",ru
Qual estado dos EUA tem a maior densidade populacional? ,"Estado ,  EUA ,  população densidade ,  maior ",pt
Which state of the USA has the highest population density?,"state, USA, population density, highest",en
संयुक्त राज्य अमेरिका का सबसे ज्यादा जनसंख्या घनत्व राज्य कौनसा है?,"राज्य ,  अमेरीका ,  आबादी घनत्व ,  उच्चतम ",hi_IN
کدام ایالت آمریکا بیشترین تراکم جمعیت را داد؟,"ایالت  ,  آمریکا  ,  تراکم جمعیت  ,  بیشترین  ",fa
Quale stato appartenente agli Stati Uniti d'America ha la densità di popolazione maggiore?,"stato, Stati Uniti d'America, maggiore densità di popolazione",it
Quel état des Etats-Unis a la plus haute densité de population?,"densité de population, état des Etats-Unis",fr
Care stat de  Statele Unite ale Americii are  cel mai inalt populație densitate? ,"stat ,  Statele Unite ale Americii ,  populație densitate ,  cel mai inalt ",ro
¿Que estado de los estados unidos de america tiene la mayor densidad de población?,"estado, estados unidos de america, densidad de población",es
Welke deelstaat van de Verenigde Staten heeft de hoogste bevolkingsdichtheid?,"deelstaat van de Verenigde Staten, hoogste bevolkingsdichtheid",nl
Welche Monarchen waren mit jemand deutschem verheiratet?,"Monarch, verheiratet, deutsch",de
Который монархи мы в браке в  Немецкий? ,"монарх ,  в браке ,  Немецкий ",ru
Quais monarcas foram casados com uma alemã? ,"monarca ,  casado ,  alemão ",pt
Which monarchs were married to a German?,"monarch, married, German",en
 कौन कौन से सम्राटों ने जर्मन नागरिक से शादी थी?,"सम्राट ,  शादी हो ग ,  जर्मन ",hi_IN
کدام پادشاهان با یک آلمانی ازدواج کردند؟,"  پادشاه,    ازدواج کردن,    آلمانی",fa
Quali monarchi erano sposati con persone tedesche?,"monarca, sposato, tedesco",it
Quels monarques ont épousé une personne allemande?,"monarques, épousé, allemand",fr
Ce monarhi au fost căsătoriți cu o persoană germană?,"monarh, căsătorit, german",ro
¿Qué monárcas estaban casados con una persona alemana?,"monarcha, casado, alemán",es
Welke monarchen waren getrouwd met een Duitser?,"monarch, getrouwd, Duitser",nl
Welche Unternehmen wurden 1950 gegründet?,"Unternehmen, gründen, 1950",de
Который организации мы основанный в 1950? ,"организация ,  основанный ,  1950 ",ru
Quais organizações foram fundadas em 1950? ,"organização ,  fundado ,  1950 ",pt
Which organizations were founded in 1950?,"organization, founded, 1950",en
 1950 में किस संगठनों  की स्थापना की गई थी?,"संगठन ,  स्थापित ,  1950 ",hi_IN
کدام سازمان ها در سال ۱۹۵۰ تاسیس شده اند؟,"  سازمان,    تأسیس شد,    1950",fa
Quali aziende sono state fondate nel 1950?,"azienda, fondata, 1950",it
Quels organisations ont été fondées en 1950?,"organisations, fondées, 1950",fr
Care organizații au fost fondat în 1950? ,"organizare ,  fondat ,  1950 ",ro
¿Qué empresas fueron fundadas en 1950?,"empresas, fundadas, 1950",es
Welke organisaties werden opgericht in 1950?,"organisatie, opgericht, 1950",nl
Wer hat den Comic Captain America erfunden?,"Comic, Captain America, erfinden",de
Кто созданный  комический капитан Америка? ,"комический ,  капитан Америка ,  Создайте ",ru
Quem criou o quadrinho Capitão América? ,"quadrinho ,  Capitão América ,  crio ",pt
Who created the comic Captain America?,"comic, Captain America, create",en
 हास्य कप्तान अमेरिका किसने बनाया?,"हास्य ,  कप्तान अमेरिका ,  सर्जन करना ",hi_IN
چه کسی داستان مصور کاپیتان آمریکا را خلق کرد؟ ,"  داستان مصور,    کاپیتان آمریکا,    خلق کردن",fa
Chi ha creato il fumetto Capitan America?,"creatore, fumetto, Capitan America",it
Qui a créé la bande dessinée Captain America?,"bande dessinée, créer, Captain America",fr
Cine a creat banda desenată Captain America?,"bandă desenată, Captain America, creat",ro
¿Quién creó el comic Capitán América?,"creador, comic, Capitán América",es
Wie schreef het stripverhaal Captain America?,"auteur, stripverhaal, Captain America",nl
Gib mir alle Apollo-14-Astronauten.,"Astronaut, Apollo 14",de
Дайте меня  Аполлон 14 астронавты. ,"космонавт ,  Аполлон 14 ",ru
Me dê os astronautas da Apolo 14.,"astronauta ,  Apolo 14 ",pt
Give me the Apollo 14 astronauts.,"astronaut, Apollo 14",en
 मुझे अपोलो 14 के अंतरिक्ष यात्री के नाम दें।,"अंतरिक्ष यात्री ,  अपोलो 14 ",hi_IN
  فضانوردان  14  آپولو  این  من  دادن,"  فضانورد,    14  آپولو",fa
Dammi gli astronauti dell'Apollo 14.,"astronauta, Apollo 14",it
Donnes-moi tous les astronautes d'Apollo 14.,"astronautes, Apollo 14",fr
Da pe mine  Apollo 14 astronauți. ,"astronaut ,  Apollo 14 ",ro
Dame todos los astronautas de Apolo 14?,"astronautas, Apolo 14",es
Geef de astronauten van Apollo 14.,"astronaut, Apollo 14",nl
Wer schrieb das Buch Das Säulen von das Erde? ,"schrieb ,  Buch ,  Das Säulen von das Erde ",de
Кто писал  книга  столбы из  Земля? ,"писал ,  книга ,   столбы из  Земля ",ru
Quem escreveu o livro Os pilares da Terra? ,"escrevi ,  livro ,  o pilares do a Terra ",pt
Who wrote the book The pillars of the Earth?,"wrote, book, The pillars of the Earth",en
पृथ्वी के स्तंभों पुस्तक को किसने लिखा था?,"लिखा था ,  किताब ,   खंभे का  पृथ्वी ",hi_IN
چه کسی کتاب قطب های زمین را نوشته است؟,"  نوشته,    کتاب,    قطب های زمین",fa
Chi ha scritto il libro Il pilastri di il Terra? ,"ha scritto ,  libro ,  Il pilastri di il Terra ",it
Qui a écrit la livre le piliers de la Terre? ,"a écrit ,  livre ,  le piliers de la Terre ",fr
Care a scris  carte  piloni de  Pământ? ,"a scris ,  carte ,   piloni de  Pământ ",ro
Quien escribió el libro los pilares de el ¿Tierra? ,"escribió ,  libro ,  los pilares de el Tierra ",es
Wie schreef de boek De pijlers van de Aarde? ,"schreef ,  boek ,  De pijlers van de Aarde ",nl
Welche Zustand von das Vereinigt Zustände von Amerika hat das höchste Dichte? ,"Zustand ,  vereinigt ,  Zustände ,  Amerika ,  höchste ,  Dichte ",de
Который государство из  объединенный состояния из Америка имеет  наибольший плотность? ,"государство ,  единый ,  состояния ,  Америка ,  наибольший ,  плотность ",ru
Qual estado dos Unidos Estados da América tem a maior densidade? ,"Estado ,  Unidos ,  estados ,  América ,  maior ,  densidade ",pt
Which state of the United States of America has the highest density?,"state, united, states, america, highest, density",en
संयुक्त राज्य अमेरिका की किस राज्य में उच्चतम घनत्व है?,"राज्य ,  संयुक्त ,  राज्यों ,  अमेरिका ,  उच्चतम ,  घनत्व ",hi_IN
کدام ایالت آمریکا بیشترین تراکم را دارد؟,"  حالت,    متحد,    ایالت ها,    آمریكا,    بالاترین,    چگالی",fa
Quale stato di il Unito stati di America ha il massimo densità? ,"stato ,  unito ,  stati ,  America ,  massimo ,  densità ",it
Lequel Etat de la Uni États de Amérique a la le plus élevé densité? ,"Etat ,  uni ,  États ,  Amérique ,  le plus élevé ,  densité ",fr
Care stat de  Unit statele de America are  cel mai inalt densitate? ,"stat ,  Unit ,  statele ,  America ,  cel mai inalt ,  densitate ",ro
Cual estado de el Unido Estados de America tiene el más alto ¿densidad? ,"estado ,  unido ,  estados ,  America ,  más alto ,  densidad ",es
Welke staat van de Verenigd Staten van Amerika heeft de hoogst dichtheid? ,"staat ,  verenigd ,  staten ,  Amerika ,  hoogst ,  dichtheid ",nl
Welche Raumflüge sind von Baikonur gestartet?,"Raumflüge, Start, Baikonur",de
Который космические полеты мы запущенный из Байконуре? ,"космический полет ,  запущенный ,  Космодром ",ru
Quais vôos espaciais foram lançados a partir de Baikonur? ,"voo espacial ,  lançado ,  Baikonur ",pt
Which spaceflights were launched from Baikonur?,"spaceflight, launched, Baikonur",en
बाइकोनूर से कौन सी अंतरिक्ष उड़ान की गई थी?,"अंतरिक्ष उड़ान, का शुभारंभ किया, बाइकोनूर",hi_IN
کدام پرواز فضایی از بایکونور پرتاب شده اند؟,"  پرواز فضایی,   پرتاب شد,    بایکونور",fa
Quali viaggi spaziali furono lanciati da Baikonur?,"viaggi spaziali, lanciati, Baikonur",it
Quels navettes spatiales ont été lancées de Baikonur?,"navettes spatiales, lanchement, Baikonur",fr
Ce zboruri spațiale au fost lansate din Baikonur?,"zbor spațial, lansat, Baikonur",ro
¿Qué misiones espaciales partieron desde Baionur?,"misiones espaciales, salida, Baikonur",es
Welke ruimtevluchten werden gestart vanuit Baikonur?,"ruimtevluchten, gestart, Baikonur",nl
"Gib mit eine Liste aller Trompeter, die Bandleader waren.","Trompeter, Bandleader",de
Дайте меня  список из все труба игроки что мы бэнд-лидер. ,"труба игрок ,  бэндлидер ",ru
Me dê a Lista de todos os tocadores de trombeta que foram líderes de bandas. ,"trombeta jogador ,  líder de banda ",pt
Give me a list of all trumpet players that were bandleaders.,"trumpet player, bandleader",en
मुझे सभी तुरही खिलाड़ियों की एक सूची दें जो बैंडलीडर थे।,"तुरही खिलाड़ी, बैंडलीडर",hi_IN
لیست همه نوازنده های ترومپت که رهبر گروه بودند را به من بده.,"  نوازنده ترومپت,    رهبر گروه",fa
Dammi la lista di tutti i trombettisti che sono stati leader di un gruppo.,"trombettista, leader di un gruppo",it
Donne-moi une liste de tous les trompettistes qui étaient chefs d'orchestre.,"trompettiste, chef d'orchestre",fr
Da pe mine A listă de toate trompeta jucători acea au fost bandleaders. ,"trompeta jucător ,  șef de orchestră ",ro
Dame una lista de todos los trompeteros que fueron líderes de un grupo.,"trompetero, líder de grupo",es
Geef me een lijst van alle trompettisten die bandleider waren.,"trompettist, bandleider",nl
Welche US-Bundesstaaten liegen in derselben Zeitzone wie Utah?,"US-Bundesstaat, dieselbe, Zeitzone, Utah",de
Который У.С. состояния находятся в  одна и та же часовой пояс в виде Юта? ,"У.С. государство ,  одна и та же ,  часовой пояс ,  Юта ",ru
Qual estado dos EUA estão no mesmo fuso horário de Utah? ,"EUA Estado ,  mesmo ,  fuso horário ,  Utah ",pt
Which U.S. states are in the same timezone as Utah?,"U.S. state, same, timezone, Utah",en
यूटा के रूप में एक ही समय क्षेत्र में कौन से अमेरिकी राज्य हैं?,"अमेरिका राज्य ,  वही ,  समय क्षेत्र ,  यूटा ",hi_IN
کدام ایالات آمریکا منطقه زمانی مشابه یوتا دارند؟,"  ایالات آمریکا,    مشابه,    منطقه زمانی,    یوتا",fa
Quali stati degli Stati Uniti d'America si trovano nello stesso fuso orario dello Utah?,"stato degli Stati Uniti d'America,  stesso, fuso orario, Utah",it
Quels états américains sont dans le même fuseau horaire que l'Utah?,"états américains, même fuseau horaire, Utah",fr
Care SUA statele sunt în  la fel fus orar la fel de Utah? ,"SUA stat ,  la fel ,  fus orar ,  Utah ",ro
¿Qué estados americanos se encuentran en la misma zona que Utah?,"estado americano, misma zona horaria, Utah",es
Welke staten van de Verenigde Staten liggen in dezelfde tijdzone als Utah?,"Utah, zelfde tijdzone, staat van de Verenigde Staten",nl
In welchen US-Staaten gibt es Goldvorkommen?,"US-Staat, Goldvorkommen",de
Который У.С. состояния обладать золото минералы? ,"У.С. государство ,  минеральная ,  золото ",ru
Qual estado dos EUA possui ouro? ,"EUA Estado ,  mineral ,  ouro ",pt
Which U.S. states possess gold minerals?,"U.S. state, mineral, gold",en
किस अमेरिकी राज्य में सोने के खनिज हैं?,"अमेरिका राज्य ,  खनिज ,  सोना ",hi_IN
کدام ایالات آمریکا مالک مواد معدنی طلا هستند؟,"  ایالت آمریکا,    مواد معدنی,    طلا",fa
In quali stati degli Stati Uniti c'è l'oro?,"Stati Uniti d'America, oro",it
Quels états des Etats-Unis d'Amérique possèdent de l'or?,"états, Etats-Unis d'Amérique, or",fr
Care SUA statele poseda aur minerale? ,"SUA stat ,  mineral ,  aur ",ro
¿En qué estados de los estados unidos de américa hay oro?,"estado, estados unidos de américa, oro",es
In welke deelstaat van de Verenigde Staten komt goud voor?,"deelstaat, Verenigde Staten, goud",nl
Mit wem ist die Tochter von Ingrid Bergman verheiratet?,"Ingrid Bergman, Tochter, verheiratet",de
Кто является  дочь из Ingrid Bergman в браке к? ,"Ingrid Bergman ,  дочь ,  в браке ",ru
Com quem é casada a filha de Ingrid Bergman?,"Ingrid Bergman ,  filha ,  casado ",pt
Who is the daughter of Ingrid Bergman married to?,"Ingrid Bergman, daughter, married",en
इंग्रिड बर्गमैन की पुत्री कि शादी किसके साथ हुई?,"इंग्रिड बर्गमैन ,  बेटी ,  शादी हो ग ",hi_IN
چه کسی با دختر انگرید برگمن ازدواج کرد؟,"اینگرید برگمن, دختر, متاهل",fa
Con chi è sposata la figlia di Ingrid Bergman?,"Ingrid Bergman, figlia, sposata",it
Qui est l'épou de la fille d'Ingrid Bergman?,"épou, fille, Ingrid Bergman",fr
Cu cine este căsătorită fiica lui Ingrid Bergman?,"Ingrid Bergman, fiică, căsătorită",ro
