questions,lang
american football player,en
amgId,en
ampere,en
amphibian,en
amusement park attraction,en
analog channel,en
anatomical structure,en
angolanKwanza,en
animal,en
animanga character,en
animator,en
anniversary,en
announcedFrom,en
annual temperature (K),en
anthem,en
apc president,en
apoapsis (km),en
apoapsis (μ),en
apofocus,en
apparent magnitude,en
appearances in league,en
appearances in national team,en
appointer,en
approach,en
approximate calories (J),en
apskritis,en
arachnid,en
archaea,en
archeologist,en
archipelago,en
architect,en
architectual bureau,en
architectural movement,en
architectural structure,en
architectural style,en
area,en
area (km2),en
area (m2),en
area code,en
area date,en
area land (m2),en
area metro (km2),en
area metro (m2),en
area of a land (m2),en
area of catchment (km2),en
area of catchment (m2),en
area of catchment quote,en
area of search,en
area of water (m2),en
area quote,en
area rank,en
area rural (m2),en
area total (km2),en
area total (m2),en
area urban (km2),en
area urban (m2),en
area water (m2),en
arena,en
argentinePeso,en
argue date,en
aristocrat,en
arm,en
armenianDram,en
army,en
arrest date,en
arrondissement,en
artery,en
article,en
artificial snow area,en
artist,en
artist discography,en
artistic function,en
artistic genre,en
artwork,en
arubanGuilder,en
ascent,en
asia championship,en
assembly,en
asset under management ($),en
assets ($),en
assistant principal,en
associate,en
associate editor,en
associateStar,en
associated act,en
associated band,en
associated musical artist,en
associated rocket,en
association of local government,en
asteroid,en
astrological sign,en
astronaut,en
astronomicalUnit,en
athlete,en
athletics,en
athletics discipline,en
athletics player,en
atoll,en
atomic number,en
atomic weight,en
attack,en
attorney general,en
australia open double,en
australia open mixed,en
australia open single,en
australian football Team,en
australian football league,en
australianDollar,en
austrian land tag,en
austrian land tag mandate,en
author,en
author of preface,en
authority,en
authority mandate,en
authority title of a romanian settlement,en
auto racing league,en
automobile,en
automobile engine,en
automobile model,en
automobile platform,en
autonomy,en
available smart card,en
average,en
average annual gross power generation (J),en
average class size,en
average depth (μ),en
average depth quote,en
average speed (km/s),en
average speed (kmh),en
avifauna population,en
award,en
awardName,en
azerbaijaniManat,en
b side,en
back scene,en
background,en
backhand,en
bacteria,en
bad guy,en
badminton player,en
bahamianDollar,en
bahrainiDinar,en
band,en
band member,en
bangladeshiTaka,en
bank,en
bar,en
bar pass rate,en
barangays,en
barbadosDollar,en
baronet,en
baseball league,en
baseball player,en
baseball season,en
baseball team,en
based on,en
basketball league,en
basketball player,en
basketball team,en
batting side,en
battle,en
battle honours,en
bay,en
beach,en
beach volleyball player,en
beatified by,en
beatified date,en
beatified place,en
beauty queen,en
bed count,en
beer,en
belarussianRuble,en
belizeDollar,en
beltway city,en
bermudianDollar,en
best lap,en
best rank double,en
best rank single,en
best ranking finish,en
best wsop rank,en
best year wsop,en
beverage,en
bgafd id,en
bhutaneseNgultrum,en
bicycle information,en
big pool record,en
biggest city,en
billed,en
binomial,en
binomial authority,en
bioclimate,en
biologist,en
biome,en
bird,en
birth,en
birth date,en
birth name,en
birth place,en
birth sign,en
birth year,en
bishopric,en
bit,en
black coordinate in the CMYK space,en
black ski piste number,en
blazon,en
blazon link,en
blazon ratio,en
block,en
block alloy,en
blood group,en
blood type,en
blood vessel,en
blue long distance piste number,en
blue ski piste number,en
bluecoordinate in the RGB space,en
board,en
board game,en
body discovered,en
body of water,en
body style,en
bodybuilder,en
boiler,en
boiler pressure,en
boiling point (K),en
bolivianBoliviano,en
bone,en
book,en
booster,en
border,en
borough,en
bosniaAndHerzegovinaConvertibleMarks,en
botswanaPula,en
bourgmestre,en
bowl record,en
bowling league,en
boxer,en
boxer category,en
boxing,en
boxing category,en
boxing league,en
boxing style,en
brain,en
brain info number,en
brain info type,en
brakeHorsepower,en
branch,en
branch from,en
branch of,en
branch to,en
brand,en
brazilianReal,en
breeder,en
brewery,en
bridge,en
bridge carries,en
british wins,en
britishOpen,en
broadcast area,en
broadcast network,en
broadcast repeater,en
broadcast station class,en
broadcast translator,en
broadcaster,en
bronze medal double,en
bronze medal mixed,en
bronze medal single,en
bronze medalist,en
brown dwarf,en
bruneiDollar,en
budget ($),en
budget year,en
builder,en
building,en
building end date,en
building end year,en
building start date,en
building start year,en
buildingType,en
bulgarianLev,en
bullfighter,en
burundianFranc,en
bus company,en
businessperson,en
bust size (μ),en
bust-waist-hip Size,en
byte,en
cabinet of ministers,en
cable car,en
call sign,en
call sign meaning,en
calorie,en
cambodianRiel,en
camera,en
campus,en
campus size (km2),en
campus size (m2),en
campus type,en
can baggage checked,en
canadian football Player,en
canadian football Team,en
canadianDollar,en
canal,en
cannon number,en
canoeist,en
canonized by,en
canonized date,en
canonized place,en
canton,en
capacity,en
capacity factor,en
cape,en
capeVerdeEscudo,en
capital,en
capital coordinates,en
capital country,en
capital district,en
capital elevation (μ),en
capital mountain,en
capital place,en
capital position,en
capital region,en
capture date,en
car number,en
carat,en
carbohydrate (g),en
carcinogen,en
card game,en
cardinal,en
career points,en
career prize money ($),en
career station,en
cargo fuel (g),en
cargo fuel (kg),en
cargo gas (g),en
cargo gas (kg),en
cargo water (g),en
cargo water (kg),en
cartoon,en
case,en
casino,en
castle,en
casualties,en
cat,en
catch,en
category,en
caterer,en
catholic percentage,en
causalties,en
cause of death,en
caused by,en
cave,en
caymanIslandsDollar,en
cca state,en
ceeb,en
ceiling,en
celebrity,en
celestial body,en
cemetery,en
census year,en
centilitre,en
centimetre,en
centralAfricanCfaFranc,en
century breaks,en
certification,en
certification date,en
cfpFranc,en
chain,en
chair label,en
chairman,en
chairman title,en
chairperson,en
champion,en
champion in double,en
champion in double female,en
champion in double male,en
champion in mixed double,en
champion in single,en
champion in single female,en
champion in single male,en
championships,en
chancellor,en
channel,en
chaplain,en
character in play,en
cheese,en
chef,en
chemical compound,en
chemical element,en
chemical substance,en
chess player,en
chief editor,en
chief executive officer,en
chief place,en
child,en
child organisation,en
chileanPeso,en
choreographer,en
chorus character in play,en
chromosome,en
church,en
cinematography,en
circuit length (μ),en
circuit name,en
circulation,en
circumcised,en
cites,en
citizenship,en
city,en
city district,en
city link,en
city rank,en
city since,en
city type,en
class,en
classes,en
classical music artist,en
classical music composition,en
classification,en
classis,en
cleric,en
clerical administrative region,en
clerical order,en
climate,en
clip up number,en
closed,en
closing date,en
closing film,en
closing season,en
closing year,en
cloth size,en
clothing size,en
club,en
club moss,en
clubs record goalscorer,en
cluster,en
co executive producer,en
co producer,en
coach,en
coach club,en
coach season,en
coached team,en
coaching record,en
coal pit,en
coalition,en
coast line (μ),en
coat of arms image,en
code,en
code Stock Exchange,en
code book,en
code istat,en
code land registry,en
code of the department,en
code on List of Honour,en
code on index,en
coemperor,en
collaboration,en
colleague,en
collection,en
collection of valuables,en
collectivity minority,en
college,en
college coach,en
college hof,en
colombianPeso,en
colonial name,en
colorChart,en
colour,en
colour hex code,en
colour hex code of away jersey or its parts,en
colour hex code of home jersey or its parts,en
colour name,en
combatant,en
comedian,en
comic,en
comic strip,en
comics character,en
comics creator,en
comitat of a settlement,en
command,en
command module,en
command structure,en
commandant,en
commander,en
comment,en
commissioner,en
commissioner date,en
commissioning date,en
committee,en
committee in legislature,en
common name,en
commune,en
comorianFranc,en
company,en
comparable,en
competition,en
compiler,en
completion date,en
complexion,en
complexity,en
component,en
composer,en
compression ratio,en
computing platform,en
configuration,en
conflict,en
congoleseFranc,en
congressional district,en
congressman,en
conifer,en
connects referenced to,en
connotation,en
consecration,en
conservation status,en
conservation status system,en
constellation,en
construction,en
construction material,en
contest,en
continent,en
continent rank,en
continental tournament,en
continental tournament bronze,en
continental tournament gold,en
continental tournament silver,en
contract award,en
contractor,en
convention,en
conveyor system,en
conviction date,en
cooling system,en
copilote,en
coronation date,en
cost ($),en
costaRicanColon,en
costume designer,en
council of a liechtenstein settlement,en
country,en
country estate,en
country origin,en
country rank,en
country top level (tld),en
country with first astronaut,en
country with first satellite,en
country with first satellite launched,en
country with first spaceflight,en
county,en
county seat,en
course (km),en
course (μ),en
cousurper,en
cover artist,en
crater,en
created,en
creation christian bishop,en
creative director,en
creator (agent),en
creator of dish,en
credit,en
creek,en
crest,en
crew,en
crew member,en
crew size,en
crews,en
cricket ground,en
cricket league,en
cricket team,en
cricketer,en
criminal,en
criteria,en
croatianKuna,en
cross-country skier,en
crosses,en
crown dependency,en
crustacean,en
cubanPeso,en
cubicCentimetre,en
cubicDecametre,en
cubicDecimetre,en
cubicFeetPerSecond,en
cubicFeetPerYear,en
cubicFoot,en
cubicHectometre,en
cubicInch,en
cubicKilometre,en
cubicMetre,en
cubicMetrePerSecond,en
cubicMetrePerYear,en
cubicMile,en
cubicMillimetre,en
cubicYard,en
cuisine,en
cultivar,en
cultivar (cultivated variety),en
curator,en
curler,en
curling league,en
currency,en
currency code,en
current city,en
current league,en
current member,en
current partner,en
current production,en
current rank,en
current record,en
current season,en
current status,en
current team,en
current team manager,en
current team member,en
current world champion,en
currently used for,en
custodian,en
cyanic coordinate in the CMYK space,en
cycad,en
cycling competition,en
cycling league,en
cycling race,en
cycling team,en
cyclist,en
cyclist genre,en
cylinder bore (mm),en
cylinder bore (μ),en
cylinder count,en
czechKoruna,en
daira,en
dam,en
damage amount,en
damsire,en
dancer,en
danishKrone,en
danse competition,en
danse score,en
darts player,en
date,en
date act,en
date budget,en
date closed,en
date completed,en
date construction,en
date disappearance of a populated place,en
date extended,en
date membership established,en
date of abandonment,en
date of acquirement,en
date of an agreement,en
date of approval by lower parliament,en
date of approval by upper parliament,en
date of burial,en
date of christening,en
date of latest election,en
date of liberation,en
date unveiled,en
date use,en
date when the island has been discovered,en
davis cup,en
day,en
daylight saving time zone,en
de facto language,en
dead in fight date,en
dead in fight place,en
dean,en
deanery,en
death,en
death age,en
death cause,en
death date,en
death place,en
death year,en
debut,en
debut team,en
debutWork,en
dec,en
decametre,en
decay,en
decibar,en
decide date,en
decilitre,en
decimetre,en
declination,en
decommissioning date,en
decoration,en
defeat,en
defeat as team manager,en
definition,en
degreeCelsius,en
degreeFahrenheit,en
degreeRankine,en
deity,en
delegate mayor,en
delegation,en
delivery date,en
deme,en
demographics,en
demographics as of,en
demolition date,en
demolition year,en
demonym,en
denomination,en
density (μ3),en
department,en
depiction description (caption),en
depth,en
depth (μ),en
depth quote,en
depths,en
deputy,en
derivative,en
derived word,en
description,en
designation of runway,en
designer,en
designer company,en
destination,en
destruction date,en
detractor,en
developer,en
device,en
diameter (km),en
diameter (mm),en
diameter (μ),en
different,en
digital camera,en
digital channel,en
digital sub channel,en
dike,en
diocese,en
diploma,en
disbanded,en
discharge (m³/s),en
discharge average (m³/s),en
disciple,en
discipline,en
discontinued,en
discoverer,en
discovery date,en
disease,en
diseasesDb,en
disney character,en
displacement (cc),en
displacement (g),en
displacement (μ³),en
dissolution date,en
dissolution year,en
dissolved,en
dist_ly,en
dist_pc,en
distance (km),en
distance (μ),en
distance laps,en
distance to Belfast (μ),en
distance to Cardiff (μ),en
distance to Charing Cross (μ),en
distance to Douglas (μ),en
distance to Dublin (μ),en
distance to Edinburgh (μ),en
distance to London (μ),en
distance to capital (μ),en
distance to nearest city (μ),en
distance traveled (km),en
distance traveled (μ),en
distributing company,en
distributing label,en
distributor,en
district,en
district water board,en
division,en
divorce,en
djiboutianFranc,en
docked time (s),en
docked time (μ),en
doctoral advisor,en
doctoral student,en
document,en
document number,en
dog,en
domain,en
dominicanPeso,en
doubles rankings,en
draft,en
draft league,en
draft pick,en
draft position,en
draft round,en
draft team,en
draft year,en
drains from,en
drains to,en
drama,en
dress code,en
drug,en
dry cargo (g),en
dry cargo (kg),en
dubber,en
duration (s),en
dynasty,en
e-teatr.pl id,en
eMedicine subject,en
eMedicine topic,en
earthquake,en
east place,en
eastCaribbeanDollar,en
economist,en
editing,en
editor,en
editor title,en
education,en
education place,en
education system,en
educational institution,en
effectiveRadiatedPower (W),en
egafd id,en
egyptianPound,en
egyptologist,en
election date,en
election date leader,en
election majority,en
electrical substation,en
element above,en
element block,en
element group,en
element period,en
elevation (μ),en
elevation quote,en
elevator count,en
emblem,en
embryology,en
employer,en
employer's celebration,en
end career,en
end date,en
end date and time,en
end occupation,en
end point,en
end reign,en
end year of insertion,en
end year of sales,en
endangered since,en
ending theme,en
endowment ($),en
enemy,en
engine,en
engine power,en
engine type,en
engineConfiguration,en
engineer,en
ensemble,en
enshrined deity,en
entomologist,en
entourage,en
enzyme,en
eparchy,en
episode,en
episode number,en
epoch,en
ept final table,en
ept itm,en
ept title,en
equipment,en
equity ($),en
era,en
erg,en
eritreanNakfa,en
eruption,en
eruption date,en
escalafon,en
escalator,en
escape velocity (kmh),en
estonianKroon,en
ethiopianBirr,en
ethnic group,en
ethnic groups in year,en
ethnicity,en
eukaryote,en
euro,en
eurobabe index id,en
european affiliation,en
european championship,en
european parliament group,en
european union entrance date,en
event,en
event date,en
event description,en
event period,en
executive headteacher,en
executive producer,en
exhibition,en
existence,en
expedition,en
explorer,en
external ornament,en
extinction date,en
extinction year,en
extraction datetime,en
eye color,en
eye colour,en
eyes,en
facility id,en
factory,en
faculty size,en
failed launches,en
falklandIslandsPound,en
family,en
family head,en
family member,en
fansgroup,en
fare zone,en
farmer,en
fashion,en
fashion designer,en
fastest driver,en
fastest driver country,en
fastest driver team,en
fastest lap,en
fat (g),en
fate,en
father,en
fathom,en
fauna,en
"feast day, holiday",en
feat,en
feature,en
features,en
fed cup,en
federal state,en
federation,en
fees ($),en
fencer,en
fern,en
fibahof,en
fictional character,en
fiefdom,en
field,en
field hockey league,en
fight,en
fighter,en
figure skater,en
fijiDollar,en
file,en
filename,en
filling station,en
film,en
film audio type,en
film colour type,en
film director,en
film festival,en
film number,en
film runtime (s),en
film version,en
final flight,en
final lost,en
final lost double,en
final lost single,en
final lost team,en
final publication date,en
final publication year,en
fips code,en
first air date,en
first appearance,en
first ascent,en
first broadcast,en
first driver,en
first driver country,en
first flight,en
first flight end date,en
first flight start date,en
first game,en
first launch,en
first launch date,en
first launch rocket,en
first mention,en
first olympic event,en
first owner,en
first place,en
first pro match,en
first publication date,en
first publication year,en
first publisher,en
first race,en
first win,en
first winner,en
firstLeader,en
firstPopularVote,en
fish,en
flag,en
flag (image),en
flag Link,en
flag bearer,en
flag border,en
flag caption,en
flagSize,en
flash point,en
flooding date,en
floor area (m2),en
floor count,en
flora,en
flower,en
flowering plant,en
flying hours (s),en
foal date,en
followed by,en
following event,en
follows,en
foot,en
footPerMinute,en
footPerSecond,en
footPound,en
football,en
football league season,en
football match,en
forces,en
forest,en
foresterDistrict,en
format (object),en
formation date,en
formation year,en
former band member,en
former broadcast network,en
former call sign,en
former channel,en
former choreographer,en
former coach,en
former highschool,en
former name,en
former partner,en
former team,en
formula,en
formula 1 team,en
formula one racing,en
fort,en
fossil,en
foundation,en
foundation place,en
founded by,en
founder,en
founding date,en
founding year,en
fourth commander,en
frazioni,en
free,en
free danse score,en
free flight time (s),en
free flight time (μ),en
free prog competition,en
free prog score,en
free score competition,en
freeLabel,en
frequency (Hz),en
frequency of publication,en
frequently updated,en
friend,en
frozen,en
fuel,en
fuel capacity (l),en
fuel capacity (μ³),en
fuel consumption,en
fuel system,en
fuel type,en
fuelType,en
full competition,en
full score,en
function end date,en
function end year,en
function start date,en
function start year,en
funded by,en
fungus,en
furlong,en
galaxy,en
galicianSpeakersDate,en
galicianSpeakersPercentage,en
gallery item,en
gambianDalasi,en
game,en
game artist,en
games,en
garden,en
garrison,en
gas chambers,en
gate,en
gender,en
gene,en
gene location end,en
gene location start,en
geneReviewsId,en
geneReviewsName,en
general council,en
general manager,en
generation units,en
genre,en
genus,en
geolocDepartment,en
geolocdual,en
geologic period,en
geological period,en
geology,en
geopolitical organisation,en
georgianLari,en
ghanaianCedi,en
gibraltarPound,en
gigabyte,en
gigahertz,en
gigalitre,en
gigametre,en
giganewton,en
gigawatt,en
gigawattHour,en
gini coefficient,en
gini coefficient as of,en
gini coefficient category,en
gini coefficient ranking,en
ginkgo,en
given name,en
glacier,en
glycemic index,en
gnis code,en
gnl,en
goals in league,en
goals in national team,en
gold medal double,en
gold medal mixed,en
gold medal single,en
gold medalist,en
golf course,en
golf league,en
golf player,en
golf tournament,en
governing body,en
government,en
government agency,en
government country,en
government elevation (μ),en
government mountain,en
government place,en
government position,en
government region,en
government type,en
governmental administrative region,en
governor,en
governor general,en
governorate,en
grades,en
grain,en
gram,en
gramForce,en
gramPerCubicCentimetre,en
gramPerKilometre,en
gramPerMillilitre,en
grandsire,en
grape,en
grave,en
grave stone or grave monument,en
green alga,en
green coordinate in the RGB space,en
green long distance piste number,en
green ski piste number,en
grid reference,en
gridiron football player,en
grinding capability,en
gross ($),en
gross domestic product,en
gross domestic product (GDP) ($),en
gross domestic product as of,en
gross domestic product nominal per capita,en
gross domestic product per capita,en
gross domestic product per people,en
gross domestic product rank,en
ground,en
grounds for termination of activities,en
group,en
group commemorated,en
growing grape,en
guatemalanQuetzal,en
guest,en
guineaFranc,en
guitar,en
guitarist,en
guyanaDollar,en
gym apparatus,en
gymnast,en
hair color,en
hair colour,en
hairs,en
haitiGourde,en
hall of fame,en
hand,en
handball league,en
handball player,en
handball team,en
handedness,en
handisport,en
has abstract,en
has channel,en
has input,en
has inside place,en
has junction with,en
has natural bust,en
has outside place,en
has taxon,en
head,en
head alloy,en
head chef,en
head city,en
head label,en
head teacher,en
headquarter,en
hectare,en
hectolitre,en
hectometre,en
hectopascal,en
height (cm),en
height (mm),en
height (μ),en
height above average terrain (μ),en
height against,en
height attack,en
heir,en
heisman,en
heritage register,en
hertz,en
high diver,en
highest break,en
highest building in year,en
highest mountain,en
highest place,en
highest point,en
highest point of the island,en
highest position,en
highest rank,en
highest region,en
highest state,en
highschool,en
highway system,en
hip size (μ),en
historian,en
historic building,en
historic place,en
historical map,en
historical name,en
historical period,en
historical region,en
hockey club,en
hockey team,en
hof,en
holiday,en
hollywood cartoon,en
homage,en
home arena,en
home stadium,en
home town,en
homeport,en
honduranLempira,en
hongKongDollar,en
honours,en
hopman cup,en
horse,en
horse race,en
horse rider,en
horse riding discipline,en
horse trainer,en
horsepower,en
hospital,en
host,en
hot spring,en
hotel,en
hour,en
house,en
hra state,en
hub airport,en
hue coordinate in the HSV colour space,en
human development index,en
human development index (HDI) category,en
human development index as of,en
human development index rank,en
humorist,en
hungarianForint,en
hybrid,en
iafd id,en
ice hockey league,en
ice hockey player,en
icelandKrona,en
iconographic attributes,en
id,en
id number,en
identification symbol,en
ideology,en
illiteracy,en
illustrator,en
image,en
image size (px),en
impact factor,en
impact factor as of,en
imperialBarrel,en
imperialBarrelOil,en
imperialGallon,en
imposed danse competition,en
imposed danse score,en
in cemetery,en
inch,en
inchPound,en
inclination,en
income,en
incumbent,en
indianRupee,en
individualised GND number,en
individualised PND number,en
indonesianRupiah,en
industry,en
infant mortality,en
inflow,en
influenced,en
influenced by,en
information,en
information appliance,en
information name,en
infrastructure,en
ingredient,en
ingredient name (literal),en
inhabitantsPerSquareKilometre,en
inhabitantsPerSquareMile,en
initally used for,en
inline hockey league,en
innervates,en
inscription,en
insect,en
installed capacity (W),en
institution,en
instrument,en
instrumentalist,en
intercommunality,en
intercommunality shape,en
interest,en
international affiliation,en
international football league event,en
international organisation,en
international phone prefix,en
international phone prefix label,en
internationally,en
introduced,en
introduction date,en
iranianRial,en
iraqiDinar,en
is a city state,en
is close to,en
is handicapped accessible,en
is part of,en
is part of (literal),en
is part of anatomical structure,en
is part of military conflict,en
is part of wine region,en
